date,datetime,cash_type,money,coffee_name,year,month,day,hour,price_band,city
09-03-2024,05:15.6,card,75.12,Espresso,2024,March,9,12,Medium,Kolkata
09-03-2024,07:38.3,card,208.9,Americano,2024,March,9,12,Premium,Delhi
09-03-2024,09:47.7,card,95.62,Cappuccino,2024,March,9,12,Medium,Kochi
09-03-2024,13:03.5,card,77.42,Americano,2024,March,9,12,Medium,Delhi
09-03-2024,14:26.5,card,140.25,Americano,2024,March,9,12,High,Kochi
09-03-2024,09:22.2,card,43.82,Latte,2024,March,9,13,Low,Chennai
09-03-2024,41:06.2,card,202.53,Americano with Milk,2024,March,9,13,Premium,Ahmedabad
09-03-2024,53:10.4,card,27.89,Cortado,2024,March,9,13,Low,Pune
09-03-2024,54:36.8,card,246.85,Cappuccino,2024,March,9,13,Premium,Jaipur
09-03-2024,08:01.8,card,195.34,Americano with Milk,2024,March,9,14,Premium,Ahmedabad
09-03-2024,26:52.9,card,57.69,Hot Chocolate,2024,March,9,14,Medium,Hyderabad
09-03-2024,17:57.6,card,11.33,Cappuccino,2024,March,9,19,Low,Delhi
09-03-2024,19:10.1,card,205.71,Hot Chocolate,2024,March,9,19,Premium,Hyderabad
10-03-2024,44:18.5,cash,179.65,Americano,2024,March,10,7,Premium,Ahmedabad
10-03-2024,45:29.4,cash,184.96,Americano with Milk,2024,March,10,7,Premium,Kochi
10-03-2024,06:03.0,cash,195.1,Latte,2024,March,10,10,Premium,Jaipur
10-03-2024,19:20.8,card,27.77,Espresso,2024,March,10,11,Low,Jaipur
10-03-2024,51:03.0,cash,96.03,Americano with Milk,2024,March,10,17,Medium,Mumbai
10-03-2024,34:00.5,card,37.81,Latte,2024,March,10,19,Low,Jaipur
10-03-2024,35:54.7,card,217.14,Cortado,2024,March,10,19,Premium,Pune
11-03-2024,18:46.7,cash,159.59,Latte,2024,March,11,10,Premium,Jaipur
11-03-2024,24:15.0,cash,89.42,Cappuccino,2024,March,11,11,Medium,Ahmedabad
11-03-2024,24:51.6,cash,25.25,Cortado,2024,March,11,11,Low,Mumbai
11-03-2024,26:44.2,cash,84.64,Americano,2024,March,11,11,Medium,Ahmedabad
11-03-2024,32:58.8,card,88.04,Cappuccino,2024,March,11,11,Medium,Ahmedabad
11-03-2024,24:26.4,card,185.11,Americano,2024,March,11,16,Premium,Bangalore
11-03-2024,25:45.7,card,163.01,Latte,2024,March,11,16,Premium,Mumbai
11-03-2024,50:49.6,card,222.93,Cortado,2024,March,11,16,Premium,Ahmedabad
12-03-2024,15:00.3,cash,123.33,Latte,2024,March,12,10,High,Bangalore
12-03-2024,15:34.5,card,38.7,Americano,2024,March,12,10,Low,Bangalore
12-03-2024,16:24.9,card,181.18,Cortado,2024,March,12,10,Premium,Mumbai
12-03-2024,20:45.6,card,192.59,Hot Chocolate,2024,March,12,11,Premium,Hyderabad
12-03-2024,46:23.3,card,144.71,Americano with Milk,2024,March,12,12,High,Kochi
12-03-2024,47:26.0,card,195.03,Americano,2024,March,12,12,Premium,Pune
12-03-2024,15:43.3,card,128.51,Americano,2024,March,12,16,High,Kochi
13-03-2024,06:43.0,card,135.46,Hot Chocolate,2024,March,13,11,High,Jaipur
13-03-2024,48:16.8,card,112.61,Americano,2024,March,13,11,High,Pune
13-03-2024,18:06.3,card,16.1,Americano,2024,March,13,12,Low,Jaipur
13-03-2024,19:05.1,card,35.89,Americano,2024,March,13,12,Low,Ahmedabad
13-03-2024,34:30.3,cash,17.54,Espresso,2024,March,13,12,Low,Delhi
13-03-2024,26:40.9,card,162.74,Americano with Milk,2024,March,13,14,Premium,Mumbai
13-03-2024,40:22.3,card,85.45,Espresso,2024,March,13,15,Medium,Pune
13-03-2024,41:20.4,card,132.06,Espresso,2024,March,13,15,High,Pune
13-03-2024,47:09.4,card,227.82,Espresso,2024,March,13,16,Premium,Ahmedabad
14-03-2024,02:12.2,cash,69.83,Latte,2024,March,14,10,Medium,Hyderabad
14-03-2024,28:33.0,card,108.49,Latte,2024,March,14,10,High,Bangalore
14-03-2024,29:34.3,card,191.33,Hot Chocolate,2024,March,14,10,Premium,Ahmedabad
14-03-2024,27:29.5,card,64.91,Cortado,2024,March,14,13,Medium,Kolkata
14-03-2024,28:24.5,card,28.48,Americano,2024,March,14,13,Low,Bangalore
14-03-2024,51:59.9,card,79.54,Americano with Milk,2024,March,14,13,Medium,Mumbai
14-03-2024,52:56.2,card,48.69,Espresso,2024,March,14,13,Low,Bangalore
14-03-2024,20:38.4,card,233.13,Latte,2024,March,14,15,Premium,Hyderabad
14-03-2024,04:09.5,card,203.95,Americano with Milk,2024,March,14,16,Premium,Bangalore
14-03-2024,54:38.2,card,162.02,Espresso,2024,March,14,16,Premium,Mumbai
14-03-2024,58:55.9,card,219.15,Hot Chocolate,2024,March,14,18,Premium,Hyderabad
14-03-2024,00:08.7,card,202.88,Cortado,2024,March,14,19,Premium,Kochi
15-03-2024,02:16.5,cash,54.78,Latte,2024,March,15,10,Medium,Pune
15-03-2024,53:02.2,card,224.21,Hot Chocolate,2024,March,15,10,Premium,Pune
15-03-2024,19:27.9,card,139.44,Americano,2024,March,15,18,High,Jaipur
16-03-2024,06:55.2,card,203.79,Americano with Milk,2024,March,16,12,Premium,Kochi
16-03-2024,07:53.9,card,225.06,Americano,2024,March,16,12,Premium,Kochi
16-03-2024,58:18.5,card,86.32,Cortado,2024,March,16,15,Medium,Bangalore
16-03-2024,03:21.7,card,36.41,Cortado,2024,March,16,16,Low,Pune
16-03-2024,04:11.4,card,64.7,Cortado,2024,March,16,16,Medium,Mumbai
16-03-2024,58:07.2,card,112.51,Americano with Milk,2024,March,16,17,High,Chennai
17-03-2024,10:21.4,cash,206.32,Latte,2024,March,17,10,Premium,Chennai
17-03-2024,55:26.1,card,216.58,Cortado,2024,March,17,12,Premium,Hyderabad
18-03-2024,17:59.7,card,11.67,Cortado,2024,March,18,11,Low,Pune
18-03-2024,31:39.7,card,132.58,Americano,2024,March,18,15,High,Pune
18-03-2024,32:38.2,card,110.18,Americano,2024,March,18,15,High,Chennai
18-03-2024,33:36.7,card,63.31,Americano,2024,March,18,15,Medium,Pune
19-03-2024,20:26.0,cash,38.77,Cortado,2024,March,19,10,Low,Bangalore
19-03-2024,02:21.5,card,91.03,Latte,2024,March,19,14,Medium,Kolkata
19-03-2024,03:19.8,card,236.3,Latte,2024,March,19,14,Premium,Delhi
19-03-2024,04:36.3,card,87.57,Hot Chocolate,2024,March,19,15,Medium,Kochi
19-03-2024,53:48.7,card,134.51,Americano with Milk,2024,March,19,16,High,Jaipur
19-03-2024,26:32.7,cash,178.72,Hot Chocolate,2024,March,19,19,Premium,Hyderabad
20-03-2024,41:16.4,card,97.27,Cortado,2024,March,20,11,Medium,Kolkata
20-03-2024,21:07.7,cash,243.23,Latte,2024,March,20,12,Premium,Chennai
20-03-2024,30:49.0,card,240.99,Cortado,2024,March,20,12,Premium,Kochi
20-03-2024,16:47.4,card,70.43,Cappuccino,2024,March,20,13,Medium,Pune
20-03-2024,42:38.1,card,129.34,Cocoa,2024,March,20,16,High,Jaipur
20-03-2024,50:28.8,card,82.21,Latte,2024,March,20,17,Medium,Pune
21-03-2024,18:57.0,cash,78.36,Cappuccino,2024,March,21,10,Medium,Mumbai
21-03-2024,25:09.2,card,18.85,Cortado,2024,March,21,12,Low,Mumbai
21-03-2024,26:17.4,card,156.3,Cappuccino,2024,March,21,12,Premium,Jaipur
21-03-2024,21:01.5,cash,130.64,Americano,2024,March,21,17,High,Jaipur
21-03-2024,22:01.4,card,22.35,Cortado,2024,March,21,17,Low,Chennai
21-03-2024,20:36.5,card,76.88,Latte,2024,March,21,19,Medium,Jaipur
22-03-2024,35:53.6,card,227.98,Americano with Milk,2024,March,22,10,Premium,Bangalore
22-03-2024,29:20.3,card,67.49,Americano with Milk,2024,March,22,13,Medium,Pune
22-03-2024,15:14.4,cash,44.77,Cappuccino,2024,March,22,16,Low,Kolkata
22-03-2024,17:03.7,card,127.47,Americano,2024,March,22,17,High,Ahmedabad
22-03-2024,17:59.0,card,246.56,Espresso,2024,March,22,17,Premium,Jaipur
22-03-2024,20:49.5,card,68.09,Americano,2024,March,22,17,Medium,Hyderabad
23-03-2024,43:59.6,card,171.31,Latte,2024,March,23,10,Premium,Mumbai
23-03-2024,45:07.2,card,192.79,Americano with Milk,2024,March,23,10,Premium,Bangalore
23-03-2024,10:07.7,card,67.03,Cappuccino,2024,March,23,13,Medium,Kochi
23-03-2024,11:12.2,card,184.77,Cocoa,2024,March,23,13,Premium,Ahmedabad
23-03-2024,44:41.3,card,98.27,Americano with Milk,2024,March,23,14,Medium,Kolkata
23-03-2024,47:19.1,card,161.75,Latte,2024,March,23,15,Premium,Ahmedabad
23-03-2024,49:33.8,card,162.05,Americano with Milk,2024,March,23,15,Premium,Jaipur
23-03-2024,00:58.4,card,138.59,Cortado,2024,March,23,16,High,Chennai
24-03-2024,03:56.0,cash,31.67,Latte,2024,March,24,10,Low,Mumbai
24-03-2024,45:08.4,card,210.47,Latte,2024,March,24,18,Premium,Mumbai
25-03-2024,31:47.2,card,86.99,Latte,2024,March,25,10,Medium,Kochi
25-03-2024,16:25.7,cash,54.76,Americano with Milk,2024,March,25,11,Medium,Chennai
25-03-2024,27:09.2,card,19.79,Latte,2024,March,25,14,Low,Pune
25-03-2024,29:25.3,card,151.81,Latte,2024,March,25,14,Premium,Delhi
25-03-2024,37:30.6,card,172.62,Americano with Milk,2024,March,25,18,Premium,Bangalore
25-03-2024,34:24.5,card,13.98,Cappuccino,2024,March,25,19,Low,Mumbai
26-03-2024,35:49.7,card,132.9,Cocoa,2024,March,26,10,High,Hyderabad
26-03-2024,36:36.2,card,64.36,Latte,2024,March,26,10,Medium,Mumbai
26-03-2024,42:30.2,card,164.84,Latte,2024,March,26,10,Premium,Ahmedabad
26-03-2024,11:47.3,card,51.85,Cortado,2024,March,26,11,Medium,Mumbai
26-03-2024,35:52.8,card,175.83,Americano,2024,March,26,13,Premium,Mumbai
26-03-2024,36:49.6,card,102.82,Cortado,2024,March,26,13,High,Delhi
26-03-2024,37:59.7,card,234.82,Cortado,2024,March,26,13,Premium,Delhi
26-03-2024,57:53.7,card,43.01,Americano,2024,March,26,13,Low,Kolkata
26-03-2024,48:02.3,card,91.86,Latte,2024,March,26,15,Medium,Pune
26-03-2024,33:38.6,card,37.23,Latte,2024,March,26,18,Low,Hyderabad
26-03-2024,34:54.6,card,231.93,Hot Chocolate,2024,March,26,18,Premium,Mumbai
27-03-2024,04:51.2,card,220.56,Cortado,2024,March,27,11,Premium,Mumbai
27-03-2024,05:58.2,card,71.91,Americano with Milk,2024,March,27,11,Medium,Bangalore
27-03-2024,57:00.5,card,168.4,Americano with Milk,2024,March,27,12,Premium,Delhi
27-03-2024,35:20.0,card,206.13,Hot Chocolate,2024,March,27,13,Premium,Hyderabad
27-03-2024,22:31.7,card,143.25,Cappuccino,2024,March,27,14,High,Kochi
27-03-2024,23:35.4,card,137.12,Americano,2024,March,27,14,High,Kolkata
27-03-2024,30:11.8,card,68.04,Cortado,2024,March,27,18,Medium,Pune
27-03-2024,31:12.4,cash,32.34,Latte,2024,March,27,19,Low,Chennai
28-03-2024,24:47.1,card,225.33,Cortado,2024,March,28,14,Premium,Pune
28-03-2024,24:46.2,card,226.1,Cortado,2024,March,28,17,Premium,Ahmedabad
28-03-2024,27:05.3,card,161.94,Americano,2024,March,28,17,Premium,Mumbai
28-03-2024,32:44.7,card,91.37,Latte,2024,March,28,17,Medium,Kolkata
29-03-2024,56:19.5,card,93.81,Latte,2024,March,29,10,Medium,Ahmedabad
29-03-2024,34:17.4,card,184.23,Cappuccino,2024,March,29,12,Premium,Hyderabad
29-03-2024,41:32.1,card,225.31,Cappuccino,2024,March,29,12,Premium,Chennai
29-03-2024,22:44.6,cash,222.9,Cappuccino,2024,March,29,13,Premium,Delhi
30-03-2024,59:19.9,card,197.17,Latte,2024,March,30,11,Premium,Kolkata
30-03-2024,49:25.8,cash,164.09,Cappuccino,2024,March,30,13,Premium,Kolkata
30-03-2024,12:31.8,card,30.19,Latte,2024,March,30,16,Low,Mumbai
30-03-2024,36:40.5,card,48.79,Latte,2024,March,30,16,Low,Jaipur
30-03-2024,37:57.6,card,225.65,Americano with Milk,2024,March,30,16,Premium,Kolkata
31-03-2024,40:04.5,card,155.54,Cappuccino,2024,March,31,10,Premium,Bangalore
31-03-2024,36:45.0,cash,12.21,Americano,2024,March,31,19,Low,Chennai
01-04-2024,28:47.6,card,34.35,Americano,2024,April,1,10,Low,Chennai
01-04-2024,29:42.3,card,169.24,Americano with Milk,2024,April,1,10,Premium,Bangalore
01-04-2024,30:43.7,card,11.21,Americano with Milk,2024,April,1,10,Low,Kochi
01-04-2024,15:43.8,card,48.59,Americano with Milk,2024,April,1,11,Low,Bangalore
01-04-2024,01:42.9,cash,141.7,Cappuccino,2024,April,1,17,High,Bangalore
01-04-2024,18:42.4,card,176.05,Americano with Milk,2024,April,1,18,Premium,Chennai
01-04-2024,45:27.4,card,166.47,Hot Chocolate,2024,April,1,18,Premium,Pune
02-04-2024,01:14.0,card,63.82,Latte,2024,April,2,10,Medium,Chennai
02-04-2024,18:34.2,card,180.92,Americano,2024,April,2,16,Premium,Jaipur
02-04-2024,19:28.5,card,66.94,Cortado,2024,April,2,16,Medium,Mumbai
02-04-2024,59:31.9,cash,88.1,Cappuccino,2024,April,2,19,Medium,Ahmedabad
03-04-2024,19:13.6,card,189.16,Cortado,2024,April,3,10,Premium,Pune
03-04-2024,20:07.7,card,165.91,Americano,2024,April,3,10,Premium,Delhi
03-04-2024,12:05.4,card,213.81,Cappuccino,2024,April,3,13,Premium,Ahmedabad
03-04-2024,36:11.7,cash,167.83,Cortado,2024,April,3,15,Premium,Mumbai
04-04-2024,44:56.0,card,146.39,Latte,2024,April,4,10,High,Jaipur
04-04-2024,26:38.1,card,32.48,Latte,2024,April,4,11,Low,Jaipur
04-04-2024,27:48.4,card,98.25,Cappuccino,2024,April,4,11,Medium,Delhi
04-04-2024,23:02.2,card,73.65,Cortado,2024,April,4,12,Medium,Pune
04-04-2024,42:07.7,cash,68.56,Latte,2024,April,4,19,Medium,Kochi
05-04-2024,40:42.7,card,243.52,Americano,2024,April,5,10,Premium,Bangalore
05-04-2024,42:06.2,card,104.34,Americano,2024,April,5,10,High,Pune
05-04-2024,06:14.6,card,224.09,Cortado,2024,April,5,11,Premium,Kochi
05-04-2024,14:28.0,card,161.47,Americano with Milk,2024,April,5,12,Premium,Jaipur
05-04-2024,23:40.4,card,200.75,Latte,2024,April,5,14,Premium,Chennai
05-04-2024,24:50.4,card,130.63,Cortado,2024,April,5,14,High,Mumbai
05-04-2024,30:50.4,cash,148.46,Latte,2024,April,5,15,High,Delhi
05-04-2024,54:15.8,cash,128.2,Cappuccino,2024,April,5,15,High,Mumbai
05-04-2024,55:30.9,cash,56.86,Americano,2024,April,5,15,Medium,Hyderabad
05-04-2024,17:44.0,cash,183.39,Cocoa,2024,April,5,16,Premium,Hyderabad
05-04-2024,18:23.6,card,77.39,Espresso,2024,April,5,16,Medium,Pune
06-04-2024,32:31.4,card,15.84,Americano with Milk,2024,April,6,12,Low,Jaipur
06-04-2024,13:18.7,card,164.91,Cappuccino,2024,April,6,14,Premium,Jaipur
06-04-2024,14:27.0,card,52.51,Americano,2024,April,6,14,Medium,Bangalore
06-04-2024,49:50.2,card,235.71,Latte,2024,April,6,14,Premium,Bangalore
07-04-2024,12:53.2,card,238.94,Latte,2024,April,7,10,Premium,Bangalore
07-04-2024,44:31.9,card,229.57,Cappuccino,2024,April,7,12,Premium,Chennai
07-04-2024,46:05.1,card,98.84,Cappuccino,2024,April,7,12,Medium,Ahmedabad
07-04-2024,16:24.9,card,13.71,Cortado,2024,April,7,14,Low,Kolkata
07-04-2024,17:30.6,card,232.8,Espresso,2024,April,7,14,Premium,Ahmedabad
07-04-2024,01:16.6,card,112.76,Hot Chocolate,2024,April,7,18,High,Mumbai
07-04-2024,02:03.9,card,242,Americano with Milk,2024,April,7,18,Premium,Ahmedabad
08-04-2024,58:21.1,card,241.27,Americano with Milk,2024,April,8,10,Premium,Chennai
08-04-2024,59:27.6,card,214.72,Cappuccino,2024,April,8,10,Premium,Mumbai
08-04-2024,01:20.5,card,80.67,Americano,2024,April,8,11,Medium,Ahmedabad
08-04-2024,04:47.0,card,102.42,Cappuccino,2024,April,8,11,High,Chennai
08-04-2024,54:25.9,cash,214.27,Espresso,2024,April,8,12,Premium,Kolkata
08-04-2024,43:36.9,cash,86.06,Americano with Milk,2024,April,8,15,Medium,Ahmedabad
08-04-2024,41:37.8,card,50.68,Latte,2024,April,8,16,Medium,Chennai
08-04-2024,18:09.7,card,143.63,Americano,2024,April,8,18,High,Bangalore
08-04-2024,22:27.5,card,234.68,Americano with Milk,2024,April,8,19,Premium,Jaipur
08-04-2024,23:59.3,card,177.05,Cappuccino,2024,April,8,19,Premium,Bangalore
09-04-2024,22:27.4,cash,146.81,Cappuccino,2024,April,9,10,High,Jaipur
09-04-2024,24:10.1,cash,33.32,Americano,2024,April,9,10,Low,Delhi
09-04-2024,42:28.5,card,157.6,Latte,2024,April,9,11,Premium,Delhi
09-04-2024,11:48.7,card,247.61,Hot Chocolate,2024,April,9,15,Premium,Delhi
09-04-2024,25:23.9,card,43.62,Hot Chocolate,2024,April,9,17,Low,Kolkata
10-04-2024,21:26.2,cash,134.4,Espresso,2024,April,10,10,High,Bangalore
10-04-2024,55:07.0,cash,220.57,Hot Chocolate,2024,April,10,17,Premium,Jaipur
10-04-2024,55:31.2,card,187.78,Espresso,2024,April,10,17,Premium,Chennai
10-04-2024,24:59.3,card,177.28,Cappuccino,2024,April,10,18,Premium,Mumbai
10-04-2024,04:05.4,card,178.6,Latte,2024,April,10,20,Premium,Chennai
11-04-2024,41:23.2,card,96.28,Americano,2024,April,11,10,Medium,Mumbai
11-04-2024,42:59.4,card,80.46,Americano,2024,April,11,10,Medium,Hyderabad
11-04-2024,35:23.1,card,204.25,Latte,2024,April,11,16,Premium,Chennai
11-04-2024,16:56.6,card,204.43,Cappuccino,2024,April,11,19,Premium,Ahmedabad
11-04-2024,18:36.6,card,218.1,Americano with Milk,2024,April,11,19,Premium,Ahmedabad
12-04-2024,03:43.4,card,229.18,Hot Chocolate,2024,April,12,19,Premium,Pune
12-04-2024,38:23.2,card,132.72,Cortado,2024,April,12,19,High,Bangalore
13-04-2024,29:19.8,card,130.36,Latte,2024,April,13,12,High,Mumbai
13-04-2024,43:02.4,card,201.59,Americano,2024,April,13,12,Premium,Mumbai
13-04-2024,06:52.3,cash,165.99,Hot Chocolate,2024,April,13,15,Premium,Bangalore
13-04-2024,07:56.0,cash,178.47,Hot Chocolate,2024,April,13,15,Premium,Kolkata
13-04-2024,18:03.9,card,200.99,Cappuccino,2024,April,13,16,Premium,Pune
13-04-2024,19:39.8,card,223.6,Latte,2024,April,13,16,Premium,Kolkata
13-04-2024,51:26.0,card,91.12,Cappuccino,2024,April,13,17,Medium,Kolkata
13-04-2024,53:19.2,card,100.14,Cappuccino,2024,April,13,17,High,Kolkata
14-04-2024,55:27.4,cash,32.56,Latte,2024,April,14,10,Low,Bangalore
14-04-2024,24:39.0,card,148.79,Cappuccino,2024,April,14,12,High,Kolkata
14-04-2024,27:09.0,cash,18.63,Cortado,2024,April,14,12,Low,Ahmedabad
14-04-2024,29:06.9,cash,121.74,Cortado,2024,April,14,12,High,Delhi
14-04-2024,31:36.0,cash,140.23,Americano with Milk,2024,April,14,12,High,Hyderabad
14-04-2024,21:49.8,card,78.77,Cortado,2024,April,14,13,Medium,Mumbai
14-04-2024,23:31.6,card,151.8,Americano,2024,April,14,14,Premium,Mumbai
14-04-2024,24:26.9,card,17.32,Americano,2024,April,14,14,Low,Hyderabad
14-04-2024,25:18.1,card,18.96,Americano,2024,April,14,14,Low,Bangalore
14-04-2024,46:27.7,card,207.42,Cappuccino,2024,April,14,15,Premium,Chennai
14-04-2024,59:54.8,card,96.45,Cortado,2024,April,14,16,Medium,Bangalore
14-04-2024,00:45.4,card,40.49,Latte,2024,April,14,17,Low,Mumbai
14-04-2024,38:19.6,card,135.34,Cappuccino,2024,April,14,18,High,Mumbai
15-04-2024,45:24.6,card,194.8,Americano,2024,April,15,11,Premium,Hyderabad
15-04-2024,01:46.4,card,61.8,Americano,2024,April,15,17,Medium,Kolkata
15-04-2024,02:49.7,card,159.49,Americano with Milk,2024,April,15,17,Premium,Bangalore
15-04-2024,33:03.0,card,30.48,Americano with Milk,2024,April,15,19,Low,Jaipur
15-04-2024,41:58.1,cash,22.4,Espresso,2024,April,15,19,Low,Hyderabad
16-04-2024,43:49.9,cash,137.53,Americano with Milk,2024,April,16,10,High,Ahmedabad
16-04-2024,46:25.7,card,139.75,Americano with Milk,2024,April,16,10,High,Mumbai
16-04-2024,40:47.7,card,162.98,Cocoa,2024,April,16,12,Premium,Hyderabad
16-04-2024,52:07.7,card,184.26,Cortado,2024,April,16,12,Premium,Bangalore
16-04-2024,03:16.9,card,244.2,Americano,2024,April,16,15,Premium,Mumbai
16-04-2024,42:04.2,card,133.91,Americano with Milk,2024,April,16,17,High,Chennai
16-04-2024,43:23.0,card,87.51,Cappuccino,2024,April,16,17,Medium,Hyderabad
16-04-2024,09:05.3,card,200.84,Cocoa,2024,April,16,18,Premium,Pune
17-04-2024,32:59.8,card,75,Americano,2024,April,17,13,Medium,Mumbai
17-04-2024,44:00.2,card,115.35,Espresso,2024,April,17,13,High,Bangalore
17-04-2024,13:24.3,cash,28.83,Cappuccino,2024,April,17,16,Low,Delhi
17-04-2024,01:35.1,card,16.08,Cappuccino,2024,April,17,17,Low,Jaipur
17-04-2024,02:40.7,card,241.04,Cappuccino,2024,April,17,17,Premium,Kochi
17-04-2024,14:03.2,card,210.64,Cortado,2024,April,17,18,Premium,Kolkata
18-04-2024,19:01.7,card,177.03,Americano,2024,April,18,11,Premium,Kochi
18-04-2024,20:05.7,card,108.15,Americano,2024,April,18,11,High,Bangalore
18-04-2024,49:12.7,card,51.59,Americano with Milk,2024,April,18,13,Medium,Ahmedabad
18-04-2024,50:17.3,card,47.54,Cortado,2024,April,18,13,Low,Ahmedabad
18-04-2024,34:19.8,card,70.06,Cappuccino,2024,April,18,14,Medium,Delhi
18-04-2024,35:49.4,card,141.81,Latte,2024,April,18,14,High,Kolkata
18-04-2024,44:15.8,card,181.5,Latte,2024,April,18,17,Premium,Pune
